date,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated
2020-12-13,1468482,17714,16012396,305721,36817
2020-12-14,0,0,16012396,305721,41465
2020-12-15,0,0,16012396,305721,87883
2020-12-16,0,0,16012396,305721,243398
2020-12-17,0,0,16012396,305721,511644
2020-12-18,0,0,16012396,305721,923222
2020-12-19,0,0,16012396,305721,1103020
2020-12-20,1517928,18866,17530324,324587,1207930
2020-12-21,0,0,17530324,324587,1587344
2020-12-22,0,0,17530324,324587,2029284
2020-12-23,0,0,17530324,324587,2595428
2020-12-24,0,0,17530324,324587,2788297
2020-12-25,0,0,17530324,324587,2800935
2020-12-26,0,0,17530324,324587,2940849
2020-12-27,1360122,18333,18890446,342920,3034790
2020-12-28,0,0,18890446,342920,3617005
2020-12-29,0,0,18890446,342920,4326189
2020-12-30,0,0,18890446,342920,5154420
2020-12-31,0,0,18890446,342920,5570284
2021-01-01,0,0,18890446,342920,5694637
2021-01-02,0,0,18890446,342920,5954167
2021-01-03,1380995,19650,20271441,362570,6087979
2021-01-04,0,0,20271441,362570,6693548
2021-01-05,0,0,20271441,362570,7431907
2021-01-06,0,0,20271441,362570,8268139
2021-01-07,0,0,20271441,362570,9138645
2021-01-08,0,0,20271441,362570,9989310
2021-01-09,0,0,20271441,362570,10361380
2021-01-10,1667151,21497,21938592,384067,10538948
2021-01-11,0,0,21938592,384067,11265251
2021-01-12,0,0,21938592,384067,12187080
2021-01-13,0,0,21938592,384067,13222990
2021-01-14,0,0,21938592,384067,14385052
2021-01-15,0,0,21938592,384067,15508950
2021-01-16,0,0,21938592,384067,16076975
2021-01-17,1589955,23312,23528547,407379,16333247
2021-01-18,0,0,23528547,407379,16978110
2021-01-19,0,0,23528547,407379,17946827
2021-01-20,0,0,23528547,407379,19108490
2021-01-21,0,0,23528547,407379,20447780
2021-01-22,0,0,23528547,407379,21853861
2021-01-23,0,0,23528547,407379,22598456
2021-01-24,1265861,22495,24794408,429874,22905931
2021-01-25,0,0,24794408,429874,23771374
2021-01-26,0,0,24794408,429874,24826877
2021-01-27,0,0,24794408,429874,26077399
2021-01-28,0,0,24794408,429874,27448006
2021-01-29,0,0,24794408,429874,28824725
2021-01-30,0,0,24794408,429874,29581867
2021-01-31,1068625,22249,25863033,452123,29904700
2021-02-01,0,0,25863033,452123,30689278
2021-02-02,0,0,25863033,452123,31658111
2021-02-03,0,0,25863033,452123,32922119
2021-02-04,0,0,25863033,452123,34310101
2021-02-05,0,0,25863033,452123,35667252
2021-02-06,0,0,25863033,452123,36521023
2021-02-07,857250,20100,26720283,472223,36796219
2021-02-08,0,0,26720283,472223,37635054
2021-02-09,0,0,26720283,472223,38671322
2021-02-10,0,0,26720283,472223,39902399
2021-02-11,0,0,26720283,472223,41179619
2021-02-12,0,0,26720283,472223,42566921
2021-02-13,0,0,26720283,472223,43439991
2021-02-14,670572,19838,27390855,492061,43783854
2021-02-15,0,0,27390855,492061,44401512
2021-02-16,0,0,27390855,492061,45198913
2021-02-17,0,0,27390855,492061,46135232
2021-02-18,0,0,27390855,492061,46968799
2021-02-19,0,0,27390855,492061,47788087
2021-02-20,0,0,27390855,492061,48384342
2021-02-21,473485,14432,27864340,506493,48639402
2021-02-22,0,0,27864340,506493,49254909
2021-02-23,0,0,27864340,506493,50119355
2021-02-24,0,0,27864340,506493,51363520
2021-02-25,0,0,27864340,506493,52899249
2021-02-26,0,0,27864340,506493,54568528
2021-02-27,0,0,27864340,506493,55705443
2021-02-28,465751,13360,28330091,519853,56236747
2021-03-01,0,0,28330091,519853,57457783
2021-03-02,0,0,28330091,519853,58922002
2021-03-03,0,0,28330091,519853,60664565
2021-03-04,0,0,28330091,519853,62620210
2021-03-05,0,0,28330091,519853,64626215
2021-03-06,0,0,28330091,519853,65977094
2021-03-07,420739,10446,28750830,530299,66654619
2021-03-08,0,0,28750830,530299,68136544
2021-03-09,0,0,28750830,530299,69949085
2021-03-10,0,0,28750830,530299,72021699
2021-03-11,0,0,28750830,530299,74317090
2021-03-12,0,0,28750830,530299,76452204
2021-03-13,0,0,28750830,530299,77839621
2021-03-14,384000,8559,29134830,538858,78486481
2021-03-15,0,0,29134830,538858,79982982
2021-03-16,0,0,29134830,538858,81916720
2021-03-17,0,0,29134830,538858,84047509
2021-03-18,0,0,29134830,538858,86339652
2021-03-19,0,0,29134830,538858,88544162
2021-03-20,0,0,29134830,538858,89962203
2021-03-21,379551,6264,29514381,545122,90645717
2021-03-22,0,0,29514381,545122,92245549
2021-03-23,0,0,29514381,545122,94223506
2021-03-24,0,0,29514381,545122,96427827
2021-03-25,0,0,29514381,545122,98683388
2021-03-26,0,0,29514381,545122,100771604
2021-03-27,0,0,29514381,545122,102142533
2021-03-28,417818,6111,29932199,551233,102813395
2021-03-29,0,0,29932199,551233,104418326
2021-03-30,0,0,29932199,551233,106428542
2021-03-31,0,0,29932199,551233,108836606
2021-04-01,0,0,29932199,551233,111366707
2021-04-02,0,0,29932199,551233,113410787
2021-04-03,0,0,29932199,551233,114735732
2021-04-04,449960,5352,30382159,556585,115173732
2021-04-05,0,0,30382159,556585,116907607
2021-04-06,0,0,30382159,556585,119190986
2021-04-07,0,0,30382159,556585,121749584
2021-04-08,0,0,30382159,556585,124309301
2021-04-09,0,0,30382159,556585,126741072
2021-04-10,0,0,30382159,556585,128465664
2021-04-11,455950,4903,30838109,561488,129298792
2021-04-12,0,0,30838109,561488,130941481
2021-04-13,0,0,30838109,561488,132687710
2021-04-14,0,0,30838109,561488,134425980
2021-04-15,0,0,30838109,561488,136188957
2021-04-16,0,0,30838109,561488,137840787
2021-04-17,0,0,30838109,561488,139003409
2021-04-18,467217,4875,31305326,566363,139542431
2021-04-19,0,0,31305326,566363,140634414
2021-04-20,0,0,31305326,566363,142000331
2021-04-21,0,0,31305326,566363,143392407
2021-04-22,0,0,31305326,566363,144807065
2021-04-23,0,0,31305326,566363,146175661
